[2026-05-06 10:33:53] MOVE asha (blue): 90→91 [0.2ms]
[2026-05-06 10:33:53] MOVE chetan (red): 26→27 [0.1ms]
[2026-05-06 10:33:53] MOVE asha (blue): 89→90 [0.2ms]
[2026-05-06 10:33:53] MOVE chetan (red): 27→14 [0.1ms]
[2026-05-06 10:33:53] MOVE asha (blue): 91→103 [0.1ms]
[2026-05-06 10:33:54] MOVE chetan (red): 14→15 [0.2ms]
[2026-05-06 10:33:54] MOVE asha (blue): 90→91 [0.1ms]
[2026-05-06 10:33:54] MOVE chetan (red): 15→16 [0.1ms]
[2026-05-06 10:33:54] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 10:33:54] MOVE chetan (red): 16→17 [0.1ms]
[2026-05-06 10:33:55] MOVE asha (blue): 91→103 [0.1ms]
[2026-05-06 10:33:55] MOVE chetan (red): 17→18 [0.2ms]
[2026-05-06 10:33:55] MOVE asha (blue): 102→104 [0.1ms]
[2026-05-06 10:33:55] MOVE chetan (red): 18→19 [0.1ms]
[2026-05-06 10:33:55] MOVE asha (blue): 103→105 [0.1ms]
[2026-05-06 10:33:55] MOVE chetan (red): 19→31 [0.1ms]
[2026-05-06 10:33:55] MOVE asha (blue): 104→106 [0.1ms]
[2026-05-06 10:33:56] MOVE chetan (red): 31→30 [1.3ms]
