[2026-05-15 22:55:48] MOVE chetan (red): 31→27 [0.4ms]
[2026-05-15 22:55:49] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:55:51] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:55:52] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:55:53] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:55:54] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:55:55] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:55:56] MOVE asha (blue): 94→90 [0.5ms]
[2026-05-15 22:55:57] MOVE chetan (red): 31→27 [0.4ms]
[2026-05-15 22:55:58] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:55:59] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:56:01] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:56:02] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:03] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:56:04] MOVE chetan (red): 27→31 [0.4ms]
[2026-05-15 22:56:05] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:56:06] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:07] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:56:08] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:56:09] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:56:11] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:12] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:56:13] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:56:14] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:56:15] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:16] MOVE asha (blue): 90→94 [0.8ms]
[2026-05-15 22:56:18] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:56:19] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:56:20] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:21] MOVE asha (blue): 90→94 [1.2ms]
[2026-05-15 22:56:22] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:56:23] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:56:25] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:26] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:56:27] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:56:28] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:56:29] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:30] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:56:31] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:56:32] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:56:34] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:35] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:56:36] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:56:37] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:56:38] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:56:39] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:56:40] SCORE chetan (red): Final=175.0, Time=0.0, Moves(179)=0.0, Pins(0)=0.0, Dist=175.0
[2026-05-15 22:56:40] SCORE asha (blue): Final=183.0, Time=0.0, Moves(179)=0.0, Pins(0)=0.0, Dist=183.0
[2026-05-15 22:56:40] GAME TIME LIMIT REACHED.
[2026-05-15 22:56:40] SCORE chetan (red): Final=175.0, Time=0.0, Moves(179)=0.0, Pins(0)=0.0, Dist=175.0
[2026-05-15 22:56:40] SCORE asha (blue): Final=183.0, Time=0.0, Moves(179)=0.0, Pins(0)=0.0, Dist=183.0
[2026-05-15 22:56:40] GAME TIME LIMIT REACHED.
[2026-05-15 22:56:40] SCORE chetan (red): Final=175.0, Time=0.0, Moves(179)=0.0, Pins(0)=0.0, Dist=175.0
[2026-05-15 22:56:40] SCORE asha (blue): Final=183.0, Time=0.0, Moves(179)=0.0, Pins(0)=0.0, Dist=183.0
[2026-05-15 22:56:40] GAME TIME LIMIT REACHED.
